name,a,b,description,color
Gvt Obama,0,0,0,#3C3B6E
Gvt Trump,1,2,3,#3C3B6E
Gvt Putin,0,0,0,#3C3B6E
Agences,0,0,0,#3C3B6E
DNC,0,0,0,#3C3B6E
RNC,0,0,0,#3C3B6E
Cour Suprême,0,0,0,#3C3B6E
Machines,0,0,0,#3C3B6E
Databases,0,0,0,#3C3B6E
Senate & HoR,0,0,0,#3C3B6E
Robert Muller,0,0,0,#3C3B6E
John Podesta,0,0,0,#FFFFFF
John Laurits,0,0,0,#FFFFFF
Experts cyber,0,0,0,#FFFFFF
Julian Assange,0,0,0,#FFFFFF
Anonymous,0,0,0,#FFFFFF
darkreading.com,0,0,0,#FFFFFF
Ruben Major,0,0,0,#B22234
Guccifer 2.0,0,0,0,#B22234
Fancy/Cozy Bear,0,0,0,#B22234
Usine à trolls,0,0,0,#B22234
Wikileaks,0,0,0,#B22234